t_rel_ns,kind,slot,value_deg
1180348746,CMD,2,0.0000
1180348746,CMD,3,0.0000
1186334398,CMD,0,5.0000
1186334398,CMD,1,0.0000
1186334398,CMD,2,0.0000
1186334398,CMD,3,0.0000
1192352753,CMD,0,5.0000
1192352753,CMD,1,0.0000
1192352753,CMD,2,0.0000
1192352753,CMD,3,0.0000
1202333025,CMD,0,5.0000
1202333025,CMD,1,0.0000
1202333025,CMD,2,0.0000
1202333025,CMD,3,0.0000
1208333266,CMD,0,5.0000
1208333266,CMD,1,0.0000
1208333266,CMD,2,0.0000
1208333266,CMD,3,0.0000
1214325950,CMD,0,5.0000
1214325950,CMD,1,0.0000
1214325950,CMD,2,0.0000
1214325950,CMD,3,0.0000
1220339744,CMD,0,5.0000
1220339744,CMD,1,0.0000
1220339744,CMD,2,0.0000
1220339744,CMD,3,0.0000
1226333111,CMD,0,5.0000
1226333111,CMD,1,0.0000
1226333111,CMD,2,0.0000
1226333111,CMD,3,0.0000
1232339607,CMD,0,5.0000
1232339607,CMD,1,0.0000
1232339607,CMD,2,0.0000
1232339607,CMD,3,0.0000
1238336825,CMD,0,5.0000
1238336825,CMD,1,0.0000
1238336825,CMD,2,0.0000
1238336825,CMD,3,0.0000
1244346359,CMD,0,5.0000
1244346359,CMD,1,0.0000
1244346359,CMD,2,0.0000
1244346359,CMD,3,0.0000
1250335484,CMD,0,5.0000
1250335484,CMD,1,0.0000
1250335484,CMD,2,0.0000
1250335484,CMD,3,0.0000
1256329909,CMD,0,5.0000
1256329909,CMD,1,0.0000
1256329909,CMD,2,0.0000
1256329909,CMD,3,0.0000
1263337545,CMD,0,5.0000
1263337545,CMD,1,0.0000
1263337545,CMD,2,0.0000
1263337545,CMD,3,0.0000
1269332941,CMD,0,5.0000
1269332941,CMD,1,0.0000
1269332941,CMD,2,0.0000
1269332941,CMD,3,0.0000
1275339323,CMD,0,5.0000
1275339323,CMD,1,0.0000
1275339323,CMD,2,0.0000
1275339323,CMD,3,0.0000
1281326064,CMD,0,5.0000
1281326064,CMD,1,0.0000
1281326064,CMD,2,0.0000
1281326064,CMD,3,0.0000
1287337796,CMD,0,5.0000
1287337796,CMD,1,0.0000
1287337796,CMD,2,0.0000
1287337796,CMD,3,0.0000
1293320596,CMD,0,5.0000
1293320596,CMD,1,0.0000
1293320596,CMD,2,0.0000
1293320596,CMD,3,0.0000
1299329486,CMD,0,5.0000
1299329486,CMD,1,0.0000
1299329486,CMD,2,0.0000
1299329486,CMD,3,0.0000
1305338468,CMD,0,5.0000
1305338468,CMD,1,0.0000
1305338468,CMD,2,0.0000
1305338468,CMD,3,0.0000
1311351354,CMD,0,5.0000
1311351354,CMD,1,0.0000
1311351354,CMD,2,0.0000
